university_id,course_name,entity_id,relevance_score,confidence_score,wikipedia_link,matched_positions,matched_text,wikidata_id,freebase_id,VERIFICADOS
DERE1300,Constitución y democracia,Right to health,0.7706,2.22,http://en.wikipedia.org/wiki/Right_to_health,"[180, 181, 182]",Right to health,Q2919435,/m/08qcr8,
DERE1300,Constitución y democracia,Health,0.4883,2.772,http://en.wikipedia.org/wiki/Health,[182],health,Q12147,/m/0kt51,
DERE1300,Constitución y democracia,Education,0.6545,1.159,http://en.wikipedia.org/wiki/Education,[12],teaching,Q8434,/m/0w30_5k,
DERE1300,Constitución y democracia,Constitution,0.5614,9.762,http://en.wikipedia.org/wiki/Constitution,[15],Constitution,Q7755,/m/01l_g,
DERE1300,Constitución y democracia,Constitution of the United States,0.7472,1.791,http://en.wikipedia.org/wiki/Constitution_of_the_United_States,"[14, 15]",the Constitution,Q11698,/m/07sdd,
DERE1300,Constitución y democracia,Citizenship,0.7109,4.089,http://en.wikipedia.org/wiki/Citizenship,[40],citizens,Q42138,/m/01zlf,
DERE1300,Constitución y democracia,Law,0.6555,14.28,http://en.wikipedia.org/wiki/Law,[96],law,Q7748,/m/04gb7,
DERE1300,Constitución y democracia,Right to life,0.501,3.548,http://en.wikipedia.org/wiki/Right_to_life,"[158, 159, 160]",Right to life,Q25822,/m/02d4yy,
DERE1300,Constitución y democracia,Knowledge,0.3147,3.442,http://en.wikipedia.org/wiki/Knowledge,[30],knowledge,Q9081,/m/01k8wb,
DERE1300,Constitución y democracia,Rule of law,0.7995,14.13,http://en.wikipedia.org/wiki/Rule_of_law,"[176, 177, 178]",Rule of Law,Q44918,/m/0jqvg,
DERE1300,Constitución y democracia,Legislature,0.2976,7.47,http://en.wikipedia.org/wiki/Legislature,"[148, 149]",Legislative branch,Q11204,/m/0c3b0,
DERE1300,Constitución y democracia,Politics,0.8027,3.512,http://en.wikipedia.org/wiki/Politics,[125],politics,Q7163,/m/03d19hx,
DERE1300,Constitución y democracia,Exercise,0.3047,2.601,http://en.wikipedia.org/wiki/Exercise,[49],exercise,Q219067,/m/019w6h,
DERE1300,Constitución y democracia,Social equality,0.5735,1.128,http://en.wikipedia.org/wiki/Social_equality,"[173, 174]",Equality right,Q13416790,/m/0184fr,
DERE1300,Constitución y democracia,Rights,0.5301,2.231,http://en.wikipedia.org/wiki/Rights,[174],right,Q780687,/m/0dl2z,
DERE1300,Constitución y democracia,State (polity),0.587,1.861,http://en.wikipedia.org/wiki/State_(polity),[94],state,Q7275,/m/0cwzbz,
DERE1300,Constitución y democracia,Executive (government),0.1992,4.521,http://en.wikipedia.org/wiki/Executive_(government),"[145, 146]",Executive branch,Q35798,/m/02sdd,
DERE1300,Constitución y democracia,Autonomy,0.6863,1.774,http://en.wikipedia.org/wiki/Autonomy,"[162, 163]",Personal autonomy,Q484105,/m/01b44s,
DERE1300,Constitución y democracia,Due process,0.5887,5.681,http://en.wikipedia.org/wiki/Due_process,"[168, 169]",Due process,Q1068288,/m/0b1tw,
DERE1300,Constitución y democracia,Judiciary,0.5052,6.873,http://en.wikipedia.org/wiki/Judiciary,"[151, 152]",Judicial branch,Q105985,/m/0g6tm,
DERE1300,Constitución y democracia,Society,0.4715,7.658,http://en.wikipedia.org/wiki/Society,[98],society,Q8425,/m/098wr,
DERE1300,Constitución y democracia,Value (ethics),0.5445,1.16,http://en.wikipedia.org/wiki/Value_(ethics),[38],values,Q194112,/m/0bhrmc,
DERE1300,Constitución y democracia,Civil liberties,0.7228,4.118,http://en.wikipedia.org/wiki/Civil_liberties,"[165, 166]",Personal Freedom,Q29556,/m/09bv1,
DERE1300,Constitución y democracia,Multiculturalism,0.4733,7.328,http://en.wikipedia.org/wiki/Multiculturalism,[184],Multiculturalism,Q190656,/m/0dnq8,
ISIS1204,Algorítmica y Programación con Objectos,Data type,0.867,7.768,http://en.wikipedia.org/wiki/Data_type,[386],types,Q190087,/m/0n8kz,
ISIS1204,Algorítmica y Programación con Objectos,Algorithm,0.5387,15.93,http://en.wikipedia.org/wiki/Algorithm,[901],algorithm,Q8366,/m/02qcyvp,
ISIS1204,Algorítmica y Programación con Objectos,Class (computer programming),0.9152,1.308,http://en.wikipedia.org/wiki/Class_(computer_programming),[449],class,Q4479242,/m/022x0,
ISIS1204,Algorítmica y Programación con Objectos,Contract,0.3928,1.011,http://en.wikipedia.org/wiki/Contract,[94],contracts,Q93288,/m/0245b,
ISIS1204,Algorítmica y Programación con Objectos,Method (computer programming),0.8783,1.148,http://en.wikipedia.org/wiki/Method_(computer_programming),[91],methods,Q815844,/m/01hvn0,
ISIS1204,Algorítmica y Programación con Objectos,Sequence,0.636,4.738,http://en.wikipedia.org/wiki/Sequence,[506],sequence,Q133250,/m/06x_d,
ISIS1204,Algorítmica y Programación con Objectos,Computer,0.5593,16.96,http://en.wikipedia.org/wiki/Computer,[255],computer,Q68,/m/01m3v,
